"","KC_term","gene"
"1","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT3"
"2","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4B"
"3","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRP1"
"4","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRP2"
"5","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG3"
"6","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG2"
"7","ALTERS CELL PROLIFERATION AND CELL DEATH","TAB1"
"8","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K2"
"9","ALTERS CELL PROLIFERATION AND CELL DEATH","GADD45G"
"10","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP4K1"
"11","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP10"
"12","ALTERS CELL PROLIFERATION AND CELL DEATH","CHUK"
"13","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRP4"
"14","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4E"
"15","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA4-EFNA3"
"16","ALTERS CELL PROLIFERATION AND CELL DEATH","MAP3K8"
"17","ALTERS CELL PROLIFERATION AND CELL DEATH","ATF2"
"18","ALTERS CELL PROLIFERATION AND CELL DEATH","CRK"
"19","ALTERS CELL PROLIFERATION AND CELL DEATH","CRKL"
"20","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK14"
"21","ALTERS CELL PROLIFERATION AND CELL DEATH","CSF1"
"22","ALTERS CELL PROLIFERATION AND CELL DEATH","CSF1R"
"23","ALTERS CELL PROLIFERATION AND CELL DEATH","DAXX"
"24","ALTERS CELL PROLIFERATION AND CELL DEATH","GADD45A"
"25","ALTERS CELL PROLIFERATION AND CELL DEATH","DDIT3"
"26","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP1"
"27","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP2"
"28","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP3"
"29","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP4"
"30","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP5"
"31","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP6"
"32","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP7"
"33","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP8"
"34","ALTERS CELL PROLIFERATION AND CELL DEATH","DUSP9"
"35","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA1"
"36","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA2"
"37","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA3"
"38","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA4"
"39","ALTERS CELL PROLIFERATION AND CELL DEATH","EFNA5"
"40","ALTERS CELL PROLIFERATION AND CELL DEATH","EGF"
"41","ALTERS CELL PROLIFERATION AND CELL DEATH","EGFR"
"42","ALTERS CELL PROLIFERATION AND CELL DEATH","EPHA2"
"43","ALTERS CELL PROLIFERATION AND CELL DEATH","ELK1"
"44","ALTERS CELL PROLIFERATION AND CELL DEATH","ELK4"
"45","ALTERS CELL PROLIFERATION AND CELL DEATH","ERBB2"
"46","ALTERS CELL PROLIFERATION AND CELL DEATH","ERBB3"
"47","ALTERS CELL PROLIFERATION AND CELL DEATH","ERBB4"
"48","ALTERS CELL PROLIFERATION AND CELL DEATH","EREG"
"49","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT1"
"50","ALTERS CELL PROLIFERATION AND CELL DEATH","AKT2"
"51","ALTERS CELL PROLIFERATION AND CELL DEATH","MECOM"
"52","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF1"
"53","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF2"
"54","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF3"
"55","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF4"
"56","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF5"
"57","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF6"
"58","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF7"
"59","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF8"
"60","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF9"
"61","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF10"
"62","ALTERS CELL PROLIFERATION AND CELL DEATH","FGFR1"
"63","ALTERS CELL PROLIFERATION AND CELL DEATH","FGFR3"
"64","ALTERS CELL PROLIFERATION AND CELL DEATH","FGFR2"
"65","ALTERS CELL PROLIFERATION AND CELL DEATH","FGFR4"
"66","ALTERS CELL PROLIFERATION AND CELL DEATH","VEGFD"
"67","ALTERS CELL PROLIFERATION AND CELL DEATH","RRAS2"
"68","ALTERS CELL PROLIFERATION AND CELL DEATH","MRAS"
"69","ALTERS CELL PROLIFERATION AND CELL DEATH","TAB2"
"70","ALTERS CELL PROLIFERATION AND CELL DEATH","FLNA"
"71","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK8IP3"
"72","ALTERS CELL PROLIFERATION AND CELL DEATH","FLT1"
"73","ALTERS CELL PROLIFERATION AND CELL DEATH","FLT3"
"74","ALTERS CELL PROLIFERATION AND CELL DEATH","FLT3LG"
"75","ALTERS CELL PROLIFERATION AND CELL DEATH","FLT4"
"76","ALTERS CELL PROLIFERATION AND CELL DEATH","FOS"
"77","ALTERS CELL PROLIFERATION AND CELL DEATH","MAPK8IP2"
"78","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4F"
"79","ALTERS CELL PROLIFERATION AND CELL DEATH","RASGRP3"
"80","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF20"
"81","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF21"
"82","ALTERS CELL PROLIFERATION AND CELL DEATH","GDNF"
"83","ALTERS CELL PROLIFERATION AND CELL DEATH","FGF22"
"84","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG5"
"85","ALTERS CELL PROLIFERATION AND CELL DEATH","CACNG4"
"86","ALTERS CELL PROLIFERATION AND CELL DEATH","RPS6KA6"
"87","ALTERS CELL PROLIFERATION AND CELL DEATH","GNA12"
"88","ALTERS CELL PROLIFERATION AND CELL DEATH","PLA2G4D"
"89","ALTERS CELL PROLIFERATION AND CELL DEATH","ANGPT1"
"90","ALTERS CELL PROLIFERATION AND CELL DEATH","ANGPT2"
"91","ALTERS CELL PROLIFERATION AND CELL DEATH","MKNK2"
"92","ALTERS CELL PROLIFERATION AND CELL DEATH","GRB2"
"93","ALTERS CELL PROLIFERATION AND CELL DEATH","HGF"
"94","ALTERS CELL PROLIFERATION AND CELL DEATH","NR4A1"
"95","ALTERS CELL PROLIFERATION AND CELL DEATH","HRAS"
"96","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPA1A"
"97","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPA1B"
"98","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPA1L"
"99","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPA6"
"100","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPA8"
"101","ALTERS CELL PROLIFERATION AND CELL DEATH","HSPB1"
"102","ALTERS CELL PROLIFERATION AND CELL DEATH","IGF1"
"103","ALTERS CELL PROLIFERATION AND CELL DEATH","IGF1R"
"104","ALTERS CELL PROLIFERATION AND CELL DEATH","IGF2"
"105","ALTERS CELL PROLIFERATION AND CELL DEATH","FAS"
"106","ALTERS CELL PROLIFERATION AND CELL DEATH","IKBKB"
"107","ALTERS CELL PROLIFERATION AND CELL DEATH","IL1A"
"108","ALTERS CELL PROLIFERATION AND CELL DEATH","IL1B"
"109","ALTERS CELL PROLIFERATION AND CELL DEATH","IL1R1"
"110","ALTERS CELL PROLIFERATION AND CELL DEATH","IL1RAP"
"111","ALTERS CELL PROLIFERATION AND CELL DEATH","FASLG"
"112","ALTERS CELL PROLIFERATION AND CELL DEATH","INS"
"113","ALTERS CELL PROLIFERATION AND CELL DEATH","INSR"
"114","ALTERS CELL PROLIFERATION AND CELL DEATH","IRAK1"
"115","ALTERS CELL PROLIFERATION AND CELL DEATH","ARAF"
"116","ALTERS CELL PROLIFERATION AND CELL DEATH","JUN"
"117","ALTERS CELL PROLIFERATION AND CELL DEATH","JUND"
