KC_term,gene
ALTERS CELL PROLIFERATION AND CELL DEATH,3a
ALTERS CELL PROLIFERATION AND CELL DEATH,APP
ALTERS CELL PROLIFERATION AND CELL DEATH,BCL2L11
ALTERS CELL PROLIFERATION AND CELL DEATH,C1QBP
ALTERS CELL PROLIFERATION AND CELL DEATH,CAPN1
ALTERS CELL PROLIFERATION AND CELL DEATH,CAPN2
ALTERS CELL PROLIFERATION AND CELL DEATH,CAPNS1
ALTERS CELL PROLIFERATION AND CELL DEATH,CAPNS2
ALTERS CELL PROLIFERATION AND CELL DEATH,CASP8
ALTERS CELL PROLIFERATION AND CELL DEATH,CAST
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC25A
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC25B
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC25C
ALTERS CELL PROLIFERATION AND CELL DEATH,CDK5
ALTERS CELL PROLIFERATION AND CELL DEATH,CDK5R1
ALTERS CELL PROLIFERATION AND CELL DEATH,CDKN2A
ALTERS CELL PROLIFERATION AND CELL DEATH,DNMT1
ALTERS CELL PROLIFERATION AND CELL DEATH,DNMT3A
ALTERS CELL PROLIFERATION AND CELL DEATH,DNMT3B
ALTERS CELL PROLIFERATION AND CELL DEATH,EED
ALTERS CELL PROLIFERATION AND CELL DEATH,EZH2
ALTERS CELL PROLIFERATION AND CELL DEATH,FADD
ALTERS CELL PROLIFERATION AND CELL DEATH,FASLG
ALTERS CELL PROLIFERATION AND CELL DEATH,FOXO3
ALTERS CELL PROLIFERATION AND CELL DEATH,GOLGA2
ALTERS CELL PROLIFERATION AND CELL DEATH,GSDME
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AB1
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC14
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC18
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC20
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC4
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC6
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AC7
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AFX
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AJ
ALTERS CELL PROLIFERATION AND CELL DEATH,H2AZ2
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC1
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC11
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC12
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC12L
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC13
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC14
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC15
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC17
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC21
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC26
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC3
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC4
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC5
ALTERS CELL PROLIFERATION AND CELL DEATH,H2BC9
ALTERS CELL PROLIFERATION AND CELL DEATH,H3-3A
ALTERS CELL PROLIFERATION AND CELL DEATH,H3C1
ALTERS CELL PROLIFERATION AND CELL DEATH,H3C15
ALTERS CELL PROLIFERATION AND CELL DEATH,H4C1
ALTERS CELL PROLIFERATION AND CELL DEATH,JUN
ALTERS CELL PROLIFERATION AND CELL DEATH,LMNA
ALTERS CELL PROLIFERATION AND CELL DEATH,LMNB1
ALTERS CELL PROLIFERATION AND CELL DEATH,MLKL
ALTERS CELL PROLIFERATION AND CELL DEATH,NS
ALTERS CELL PROLIFERATION AND CELL DEATH,OPG199
ALTERS CELL PROLIFERATION AND CELL DEATH,POLA1
ALTERS CELL PROLIFERATION AND CELL DEATH,POLA2
ALTERS CELL PROLIFERATION AND CELL DEATH,PRDX1
ALTERS CELL PROLIFERATION AND CELL DEATH,PRDX2
ALTERS CELL PROLIFERATION AND CELL DEATH,PRIM1
ALTERS CELL PROLIFERATION AND CELL DEATH,PRIM2
ALTERS CELL PROLIFERATION AND CELL DEATH,RBBP4
ALTERS CELL PROLIFERATION AND CELL DEATH,RBBP7
ALTERS CELL PROLIFERATION AND CELL DEATH,RIPK1
ALTERS CELL PROLIFERATION AND CELL DEATH,RIPK3
ALTERS CELL PROLIFERATION AND CELL DEATH,RIR1
ALTERS CELL PROLIFERATION AND CELL DEATH,SOD2
ALTERS CELL PROLIFERATION AND CELL DEATH,SUZ12
ALTERS CELL PROLIFERATION AND CELL DEATH,TP53
ALTERS CELL PROLIFERATION AND CELL DEATH,TRADD
ALTERS CELL PROLIFERATION AND CELL DEATH,TRAF2
ALTERS CELL PROLIFERATION AND CELL DEATH,UL36
ALTERS CELL PROLIFERATION AND CELL DEATH,YWHAE
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC1
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC10
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC11
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC15
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC16
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC2
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC4
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC5
ALTERS CELL PROLIFERATION AND CELL DEATH,ANAPC7
ALTERS CELL PROLIFERATION AND CELL DEATH,ATRX
ALTERS CELL PROLIFERATION AND CELL DEATH,CCND1
ALTERS CELL PROLIFERATION AND CELL DEATH,CCND2
ALTERS CELL PROLIFERATION AND CELL DEATH,CCND3
ALTERS CELL PROLIFERATION AND CELL DEATH,CCNE1
ALTERS CELL PROLIFERATION AND CELL DEATH,CCNE2
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC16
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC23
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC26
ALTERS CELL PROLIFERATION AND CELL DEATH,CDC27
ALTERS CELL PROLIFERATION AND CELL DEATH,CDK2
ALTERS CELL PROLIFERATION AND CELL DEATH,CDK4
ALTERS CELL PROLIFERATION AND CELL DEATH,CDK6
ALTERS CELL PROLIFERATION AND CELL DEATH,CDKN1A
ALTERS CELL PROLIFERATION AND CELL DEATH,CDKN1B
ALTERS CELL PROLIFERATION AND CELL DEATH,CDKN1C
ALTERS CELL PROLIFERATION AND CELL DEATH,DAXX
ALTERS CELL PROLIFERATION AND CELL DEATH,E2F1
ALTERS CELL PROLIFERATION AND CELL DEATH,E2F2
ALTERS CELL PROLIFERATION AND CELL DEATH,E2F3
ALTERS CELL PROLIFERATION AND CELL DEATH,FZR1
ALTERS CELL PROLIFERATION AND CELL DEATH,RB1
ALTERS CELL PROLIFERATION AND CELL DEATH,SKP2
