"","KC_term","gene"
"1","ALTERS CELL PROLIFERATION AND CELL DEATH","3a"
"2","ALTERS CELL PROLIFERATION AND CELL DEATH","APP"
"3","ALTERS CELL PROLIFERATION AND CELL DEATH","BCL2L11"
"4","ALTERS CELL PROLIFERATION AND CELL DEATH","C1QBP"
"5","ALTERS CELL PROLIFERATION AND CELL DEATH","CAPN1"
"6","ALTERS CELL PROLIFERATION AND CELL DEATH","CAPN2"
"7","ALTERS CELL PROLIFERATION AND CELL DEATH","CAPNS1"
"8","ALTERS CELL PROLIFERATION AND CELL DEATH","CAPNS2"
"9","ALTERS CELL PROLIFERATION AND CELL DEATH","CASP8"
"10","ALTERS CELL PROLIFERATION AND CELL DEATH","CAST"
"11","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC25A"
"12","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC25B"
"13","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC25C"
"14","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK5"
"15","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK5R1"
"16","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN2A"
"17","ALTERS CELL PROLIFERATION AND CELL DEATH","DNMT1"
"18","ALTERS CELL PROLIFERATION AND CELL DEATH","DNMT3A"
"19","ALTERS CELL PROLIFERATION AND CELL DEATH","DNMT3B"
"20","ALTERS CELL PROLIFERATION AND CELL DEATH","EED"
"21","ALTERS CELL PROLIFERATION AND CELL DEATH","EZH2"
"22","ALTERS CELL PROLIFERATION AND CELL DEATH","FADD"
"23","ALTERS CELL PROLIFERATION AND CELL DEATH","FASLG"
"24","ALTERS CELL PROLIFERATION AND CELL DEATH","FOXO3"
"25","ALTERS CELL PROLIFERATION AND CELL DEATH","GOLGA2"
"26","ALTERS CELL PROLIFERATION AND CELL DEATH","GSDME"
"27","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AB1"
"28","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC14"
"29","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC18"
"30","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC20"
"31","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC4"
"32","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC6"
"33","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AC7"
"34","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AFX"
"35","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AJ"
"36","ALTERS CELL PROLIFERATION AND CELL DEATH","H2AZ2"
"37","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC1"
"38","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC11"
"39","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC12"
"40","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC12L"
"41","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC13"
"42","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC14"
"43","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC15"
"44","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC17"
"45","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC21"
"46","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC26"
"47","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC3"
"48","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC4"
"49","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC5"
"50","ALTERS CELL PROLIFERATION AND CELL DEATH","H2BC9"
"51","ALTERS CELL PROLIFERATION AND CELL DEATH","H3-3A"
"52","ALTERS CELL PROLIFERATION AND CELL DEATH","H3C1"
"53","ALTERS CELL PROLIFERATION AND CELL DEATH","H3C15"
"54","ALTERS CELL PROLIFERATION AND CELL DEATH","H4C1"
"55","ALTERS CELL PROLIFERATION AND CELL DEATH","JUN"
"56","ALTERS CELL PROLIFERATION AND CELL DEATH","LMNA"
"57","ALTERS CELL PROLIFERATION AND CELL DEATH","LMNB1"
"58","ALTERS CELL PROLIFERATION AND CELL DEATH","MLKL"
"59","ALTERS CELL PROLIFERATION AND CELL DEATH","NS"
"60","ALTERS CELL PROLIFERATION AND CELL DEATH","OPG199"
"61","ALTERS CELL PROLIFERATION AND CELL DEATH","POLA1"
"62","ALTERS CELL PROLIFERATION AND CELL DEATH","POLA2"
"63","ALTERS CELL PROLIFERATION AND CELL DEATH","PRDX1"
"64","ALTERS CELL PROLIFERATION AND CELL DEATH","PRDX2"
"65","ALTERS CELL PROLIFERATION AND CELL DEATH","PRIM1"
"66","ALTERS CELL PROLIFERATION AND CELL DEATH","PRIM2"
"67","ALTERS CELL PROLIFERATION AND CELL DEATH","RBBP4"
"68","ALTERS CELL PROLIFERATION AND CELL DEATH","RBBP7"
"69","ALTERS CELL PROLIFERATION AND CELL DEATH","RIPK1"
"70","ALTERS CELL PROLIFERATION AND CELL DEATH","RIPK3"
"71","ALTERS CELL PROLIFERATION AND CELL DEATH","RIR1"
"72","ALTERS CELL PROLIFERATION AND CELL DEATH","SOD2"
"73","ALTERS CELL PROLIFERATION AND CELL DEATH","SUZ12"
"74","ALTERS CELL PROLIFERATION AND CELL DEATH","TP53"
"75","ALTERS CELL PROLIFERATION AND CELL DEATH","TRADD"
"76","ALTERS CELL PROLIFERATION AND CELL DEATH","TRAF2"
"77","ALTERS CELL PROLIFERATION AND CELL DEATH","UL36"
"78","ALTERS CELL PROLIFERATION AND CELL DEATH","YWHAE"
"79","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC1"
"80","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC10"
"81","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC11"
"82","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC15"
"83","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC16"
"84","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC2"
"85","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC4"
"86","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC5"
"87","ALTERS CELL PROLIFERATION AND CELL DEATH","ANAPC7"
"88","ALTERS CELL PROLIFERATION AND CELL DEATH","ATRX"
"89","ALTERS CELL PROLIFERATION AND CELL DEATH","CCND1"
"90","ALTERS CELL PROLIFERATION AND CELL DEATH","CCND2"
"91","ALTERS CELL PROLIFERATION AND CELL DEATH","CCND3"
"92","ALTERS CELL PROLIFERATION AND CELL DEATH","CCNE1"
"93","ALTERS CELL PROLIFERATION AND CELL DEATH","CCNE2"
"94","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC16"
"95","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC23"
"96","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC26"
"97","ALTERS CELL PROLIFERATION AND CELL DEATH","CDC27"
"98","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK2"
"99","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK4"
"100","ALTERS CELL PROLIFERATION AND CELL DEATH","CDK6"
"101","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN1A"
"102","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN1B"
"103","ALTERS CELL PROLIFERATION AND CELL DEATH","CDKN1C"
"104","ALTERS CELL PROLIFERATION AND CELL DEATH","DAXX"
"105","ALTERS CELL PROLIFERATION AND CELL DEATH","E2F1"
"106","ALTERS CELL PROLIFERATION AND CELL DEATH","E2F2"
"107","ALTERS CELL PROLIFERATION AND CELL DEATH","E2F3"
"108","ALTERS CELL PROLIFERATION AND CELL DEATH","FZR1"
"109","ALTERS CELL PROLIFERATION AND CELL DEATH","RB1"
"110","ALTERS CELL PROLIFERATION AND CELL DEATH","SKP2"
"111","ALTERS CELL PROLIFERATION AND CELL DEATH","TFDP1"
"112","ALTERS CELL PROLIFERATION AND CELL DEATH","TFDP2"
"113","ALTERS CELL PROLIFERATION AND CELL DEATH","UBE2C"
"114","ALTERS CELL PROLIFERATION AND CELL DEATH","UBE2D1"
