"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"A1BG",0.765106738075685,-0.139944801734302,0.290626470579035,0.142330050185271,0.358130872276179,"A1BG"
"A1BG-AS1",1.36434263480601,-0.179351839354579,0.301415021367498,0.1635204704459,0.390148120364094,"A1BG-AS1"
"A2M",64.7780610948235,0.0592797242815959,0.136804419594838,0.605310377667924,0.806899212962371,"A2M"
"A2M-AS1",1.51665938947648,0.865838521449284,0.424592346539683,0.00163547797154107,0.012709047782556,"A2M-AS1"
"A2MP1",0.0888708817128909,0.0111777431023952,0.258740210765748,0.807000938645021,NA,"A2MP1"
"A4GALT",18.5913499502405,-0.509282198537321,0.15727718726992,0.00026114621110261,0.00271527312552226,"A4GALT"
"A4GNT",0.0129704713781039,-0.000224156522440646,0.259835901387377,0.944967922128302,NA,"A4GNT"
"AAAS",6.30359911945314,-0.0582080157773988,0.181318788261572,0.658990960850955,0.837451038228875,"AAAS"
"AACS",4.89097608350951,0.407563036504362,0.254551618786786,0.0180563591060445,0.0859504555100815,"AACS"
"AADAC",0.010724027325347,-0.00139255131570327,0.259797945004338,0.950558723077015,NA,"AADAC"
"AADAT",0.913182065376594,-0.0281680974974502,0.241116011086396,0.760481882344708,0.891587511124832,"AADAT"
"AAGAB",20.0975722978411,0.147047148240695,0.119640685466275,0.168660259026367,0.397362306893395,"AAGAB"
"AAK1",15.6313970941551,0.000710568728030535,0.131644643159374,0.998504217328029,0.999408178632954,"AAK1"
"AAMDC",33.0591285275567,0.0447242324376999,0.0953683448982636,0.63759017376254,0.825259462562399,"AAMDC"
"AAMP",40.2218787791147,0.396135755034066,0.0893493499829821,2.57245067618485e-06,4.3325303824741e-05,"AAMP"
"AANAT",0.177553930819179,0.0237808721250294,0.257756777349535,0.655863270893585,NA,"AANAT"
"AAR2",10.6497625765002,0.254332627389581,0.165958065449358,0.0545336574097229,0.191484215426102,"AAR2"
"AARD",0.425734711714759,-0.0288086890585532,0.253094403794501,0.858810683853205,NA,"AARD"
"AARS1",9.5004967685268,0.290928947141051,0.172898918363426,0.040948209995369,0.156262799467277,"AARS1"
"AARS2",3.25698965711449,-0.0994284923527344,0.221177466721117,0.45383963759486,0.700065253318928,"AARS2"
"AARSD1",0.755057419988725,0.0593161372371225,0.250016628944194,0.506769193056179,0.742003808611134,"AARSD1"
"AARSD1P1",0.0827896928220324,0.00421392005081056,0.25837344239218,0.836560048327993,NA,"AARSD1P1"
"AASDH",1.91345809559209,0.0490445733396413,0.223474667526759,0.684091785892728,0.851207472882644,"AASDH"
"AASDHPPT",37.6676979480704,0.0654245796018222,0.101681045842867,0.483001330075807,0.723754136932316,"AASDHPPT"
"AASS",22.2360762039221,0.159708228238941,0.118213656733231,0.126982175586427,0.332548449428152,"AASS"
"AATF",5.03268321380444,0.152594100913441,0.204921202872325,0.261272094036282,0.516184707140462,"AATF"
"AATK",0.550582726700165,0.145576473734614,0.300699903685842,0.105715351905625,0.295032130063148,"AATK"
"ABALON",0.299454455043315,0.0352506264828559,0.255929615641684,0.539383956649489,NA,"ABALON"
"ABAT",4.38356403755528,0.310224166424047,0.246207759705788,0.0528599628266384,0.187385514883612,"ABAT"
"ABCA1",16.4277440249625,-0.794899233596371,0.181683562082967,1.65883194525579e-06,2.8667259207779e-05,"ABCA1"
"ABCA10",0.0195989620430571,-0.00259422580418025,0.259782130865507,0.943756177081977,NA,"ABCA10"
"ABCA11P",0.566098591470802,-0.120212089368032,0.288399238177585,0.171719320623138,0.40118863003894,"ABCA11P"
"ABCA12",0.0135041191149094,-0.0015670183641527,0.259794871960511,0.948696662027844,NA,"ABCA12"
"ABCA13",0.0174627525451699,-0.00170503946976758,0.259775602308009,0.940177525223583,NA,"ABCA13"
"ABCA17P",0.265048171710318,-0.0380260194976438,0.257855327449939,0.843395442753559,NA,"ABCA17P"
"ABCA2",1.86067634931936,-0.0766465114785859,0.23778695574258,0.503452297397928,0.739783703071679,"ABCA2"
"ABCA3",1.10089555633089,-0.0672994090912678,0.244975645867879,0.516574080098323,0.747801409634552,"ABCA3"
"ABCA5",2.24850185448977,0.131132154259602,0.24422173824826,0.310789443248707,0.567747225940985,"ABCA5"
"ABCA6",0.0579390461241204,-0.00673645780576415,0.259690994867628,0.92010563129781,NA,"ABCA6"
"ABCA7",7.21521621087396,-1.69377229811029,0.331534604613443,5.00593592461585e-08,1.13069443209321e-06,"ABCA7"
"ABCA8",1.05876150291128,1.3766949307331,0.501636738422778,0.000214055177393522,0.00230765054566229,"ABCA8"
"ABCB1",0.0187442068233552,-0.00250557854040577,0.259782041426344,0.944301550177438,NA,"ABCB1"
"ABCB10",1.42755998272376,-0.0957611872934526,0.251893851447811,0.391733097984371,0.646092567611611,"ABCB10"
"ABCB11",0.0116406076594749,-0.00186606847206548,0.259808941613494,0.954672771315724,NA,"ABCB11"
"ABCB4",1.30521997035261,0.161347486684662,0.279618003165123,0.186669886294982,0.420952471675421,"ABCB4"
"ABCB7",5.68261164062599,0.0562517068414415,0.181736954853856,0.655873995113934,0.835168000203588,"ABCB7"
"ABCB8",2.6718880487358,-0.215223221531673,0.293749898446185,0.162801283905788,0.389022403194438,"ABCB8"
"ABCB9",3.68930246743661,-0.202109829168801,0.246253003959062,0.185645973189022,0.419696673619243,"ABCB9"
"ABCC1",2.72344006415746,-0.0281643942623556,0.214017945541472,0.797787599102904,0.912556663798993,"ABCC1"
"ABCC10",1.60411738711378,0.393501565961503,0.425609774109267,0.030839482872849,0.127168644386533,"ABCC10"
"ABCC11",0.128428605447877,-0.00596001948244755,0.257974237187506,0.922963630365558,NA,"ABCC11"
"ABCC12",0.0366060816720627,-0.00508709485856505,0.259738232199107,0.934620159242953,NA,"ABCC12"
"ABCC2",0.0463003240115633,0.0191366831348174,0.259891876346294,0.832317670149939,NA,"ABCC2"
"ABCC3",0.266339118725949,-0.0521474998031877,0.264064648637024,0.812456285715816,NA,"ABCC3"
"ABCC4",2.28612563920568,-0.0137321200047489,0.21690310938637,0.908967175677275,0.960151791010642,"ABCC4"
"ABCC5",14.0689091262231,0.349861661111502,0.151988581222725,0.00615465839979804,0.0376247606063456,"ABCC5"
"ABCC6",0.391350246087533,0.0489132105125254,0.256458816032286,0.46878790118398,NA,"ABCC6"
"ABCC6P1",0.160535925371042,0.0276633263025643,0.258427460841631,0.618614662542055,NA,"ABCC6P1"
"ABCC6P2",0.23005589582422,-0.0166089689510887,0.256475265688436,0.922432350607928,NA,"ABCC6P2"
"ABCC8",0.0245421336666867,-0.00382823918297818,0.259787789936323,0.947582258817883,NA,"ABCC8"
"ABCC9",6.44258678705545,-0.108881084129779,0.189065784306761,0.41976573654866,0.671927102147415,"ABCC9"
"ABCD1",2.57602147407291,-0.154998067776275,0.255350405315229,0.255504520599609,0.508462887324214,"ABCD1"
"ABCD2",0.0608719476043539,-0.00979885181735554,0.259753689148164,0.93996357097088,NA,"ABCD2"
"ABCD3",9.50387166233559,0.127724373805308,0.157894447719266,0.308420603849508,0.56535693932518,"ABCD3"
"ABCD4",11.47113438861,0.311407624614279,0.165503315952957,0.0235992551319704,0.105011041778797,"ABCD4"
"ABCE1",9.30997423191793,0.154077680826759,0.16472791479096,0.250505367477378,0.502373524924849,"ABCE1"
"ABCF1",12.3782401945855,-0.0304322620003419,0.144321978247573,0.81165912162998,0.919018297039589,"ABCF1"
"ABCF2",9.54041407344969,0.359841452040791,0.181974529635318,0.0122971015932587,0.0641151409634427,"ABCF2"
"ABCF3",10.3204194610238,0.167563871078989,0.159600550123925,0.188440070597397,0.423680593169772,"ABCF3"
"ABCG1",2.537128614761,-1.28608532142783,0.580632745097388,0.0027862713272311,0.019616160922157,"ABCG1"
"ABCG2",0.0191219026602398,-0.00251971266113218,0.259781244285617,0.944057784938283,NA,"ABCG2"
"ABCG4",0.119120307250783,-0.00488088141556637,0.258197821532178,0.90085097965689,NA,"ABCG4"
"ABCG8",0.0317585718971574,-0.00225695293520023,0.259734167284162,0.920775477333974,NA,"ABCG8"
"ABHD1",0.334884487324084,-0.0570527085807311,0.261251296385909,0.650997320152334,NA,"ABHD1"
"ABHD10",4.86579429348126,0.278271456759129,0.231793645782454,0.0711394107104905,0.228255501504007,"ABHD10"
"ABHD11",13.9558046856066,-0.185651487859396,0.153631663748787,0.144767416987472,0.362163227902044,"ABHD11"
"ABHD12",6.7855082500337,-0.0524305501566076,0.173378118671553,0.688006441635416,0.852708599986027,"ABHD12"
"ABHD13",5.21238111212215,-0.187143841950119,0.222004089224652,0.208571658430139,0.44970694682255,"ABHD13"
"ABHD14A",14.574325023305,-0.066242205297394,0.134552835321233,0.572871555604532,0.786260605437336,"ABHD14A"
"ABHD14B",2.43241916977929,0.150933284166033,0.245885488417254,0.254841892792958,0.507545647178757,"ABHD14B"
"ABHD15",1.30142682616734,0.129914555099975,0.264866353906207,0.251938926446495,0.503757729437914,"ABHD15"
"ABHD15-AS1",0.0996333551897531,-0.0139238337330925,0.259689541868853,0.918224068650675,NA,"ABHD15-AS1"
"ABHD16B",0.0559136706870919,-0.00568707443106526,0.259664986073035,0.911722374677532,NA,"ABHD16B"
"ABHD17A",13.1680886519071,0.00702194931703619,0.141984808303542,0.953009086005391,0.980119946949549,"ABHD17A"
"ABHD17AP1",0.0927234722656216,0.00194509905739345,0.258419360620003,0.866985799000354,NA,"ABHD17AP1"
"ABHD17AP5",0.0116765269120805,-0.00186512056404992,0.259808749348054,0.954637736515577,NA,"ABHD17AP5"
"ABHD17B",2.1593127813508,0.111488858624647,0.240685448052229,0.370779310906166,0.626496086848113,"ABHD17B"
"ABHD17C",0.38007563900002,-0.00621907005340685,0.252816740466528,0.879366346669725,NA,"ABHD17C"
"ABHD18",21.5668865816101,-0.0493649267089614,0.118492878800087,0.643535229318033,0.828776407006876,"ABHD18"
"ABHD2",4.63636653018916,-0.00203803024252469,0.188671556499349,0.982249802932781,0.99394231245052,"ABHD2"
"ABHD3",1.33424886924346,-0.0637899291439456,0.244161316412203,0.53801232478855,0.76233056179353,"ABHD3"
